,seed,OSL Margin,OSL weight,beam,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
41,2804,0.0001,0.25,5,18.689,0.0,8.23,3.041,11.721,0.556,29004.099,0.129,0.74,1.125,1.125,1.083,2909.063,1.041,-0.036,-13.852
42,4872,0.0001,0.55,5,18.542,0.0,8.49,3.086,11.931,0.55,28957.069,0.126,0.741,1.117,1.117,1.081,3860.189,1.064,-0.043,-14.532
43,9361,0.0001,0.65,5,18.901,0.0,8.66,3.114,11.908,0.525,28586.534,0.147,0.83,1.111,1.111,1.077,5055.781,1.086,-0.051,-15.85
44,2804,0.0001,0.45,5,18.683,0.0,8.23,3.042,11.709,0.549,28729.378,0.134,0.756,1.125,1.125,1.083,3439.08,1.042,-0.037,-14.23
45,4872,0.0001,0.4,5,18.516,0.0,8.49,3.086,11.99,0.558,29254.31,0.121,0.723,1.117,1.117,1.079,3293.511,1.058,-0.043,-14.122
46,4872,0.0001,0.8,5,18.53,0.0,8.5,3.087,11.99,0.513,27517.04,0.162,0.826,1.117,1.117,1.08,6048.052,1.092,-0.046,-16.566
47,2804,0.0001,0.9,5,18.631,0.0,8.26,3.047,11.615,0.313,19070.395,0.412,0.99,1.126,1.126,1.083,7300.228,3.205,-0.045,-30.083
48,6765,0.0001,0.3,5,18.479,0.0,8.4,3.07,11.814,0.561,29432.005,0.128,0.738,1.116,1.116,1.08,2703.58,1.066,-0.05,-13.743
49,9361,0.0001,1.0,5,17.296,0.0,10.57,3.402,12.586,0.031,4259.093,0.932,1.0,0.967,0.967,0.96,7355.955,450.444,-2.482,-101.286
50,6765,0.0001,0.5,5,18.425,0.0,8.4,3.071,11.779,0.553,29131.246,0.135,0.758,1.117,1.117,1.08,3271.971,1.07,-0.051,-14.159
51,6765,0.0001,0.25,5,18.476,0.0,8.4,3.07,11.767,0.562,29482.659,0.127,0.735,1.116,1.116,1.08,2614.207,1.066,-0.05,-13.675
52,2804,0.0001,0.55,5,18.695,0.0,8.23,3.042,11.709,0.543,28509.224,0.139,0.768,1.125,1.125,1.083,3871.502,1.044,-0.037,-14.536
53,2421,0.0001,0.2,5,18.427,0.0,8.36,3.063,11.99,0.56,29370.847,0.121,0.706,1.119,1.119,1.083,2580.34,1.064,-0.04,-13.758
54,2421,0.0001,0.4,5,18.415,0.0,8.36,3.063,12.001,0.553,29092.682,0.128,0.722,1.118,1.118,1.083,3071.821,1.067,-0.04,-14.142
55,6765,0.0001,0.35,5,18.486,0.0,8.4,3.07,11.826,0.559,29374.212,0.129,0.743,1.116,1.116,1.08,2811.397,1.067,-0.051,-13.824
56,6765,0.0001,0.6000000000000001,5,18.467,0.0,8.4,3.071,11.803,0.546,28872.837,0.14,0.771,1.116,1.116,1.081,3772.695,1.073,-0.052,-14.519
57,4872,0.0001,0.7000000000000001,5,18.497,0.0,8.49,3.086,11.943,0.535,28374.144,0.14,0.778,1.117,1.117,1.08,4904.128,1.074,-0.044,-15.347
58,2804,0.0001,0.2,5,18.7,0.0,8.23,3.041,11.686,0.558,29052.904,0.127,0.737,1.125,1.125,1.083,2818.835,1.04,-0.036,-13.785
59,4872,0.0001,0.3,5,18.527,0.0,8.49,3.086,11.931,0.561,29382.892,0.118,0.713,1.117,1.117,1.08,3052.758,1.057,-0.043,-13.946
60,2421,0.0001,0.5,5,18.44,0.0,8.36,3.063,11.99,0.546,28867.755,0.134,0.735,1.118,1.118,1.083,3488.346,1.07,-0.04,-14.455
61,2421,0.0001,0.6000000000000001,5,18.426,0.0,8.36,3.063,11.966,0.538,28532.761,0.14,0.756,1.119,1.119,1.083,4109.058,1.074,-0.041,-14.922
62,9361,0.0001,0.7000000000000001,5,18.892,0.0,8.66,3.114,11.92,0.517,28258.283,0.155,0.846,1.112,1.112,1.077,5509.788,1.093,-0.052,-16.323
63,4872,0.0001,0.5,5,18.521,0.0,8.49,3.086,11.966,0.553,29077.53,0.123,0.734,1.117,1.117,1.08,3632.167,1.062,-0.043,-14.367
64,2421,0.0001,0.15,5,18.437,0.0,8.36,3.063,11.99,0.561,29424.248,0.12,0.703,1.119,1.119,1.083,2494.2,1.063,-0.04,-13.688
65,2421,0.0001,0.95,5,18.411,0.0,8.4,3.07,11.955,0.157,11559.772,0.696,0.999,1.124,1.124,1.087,7330.614,9.446,-0.066,-48.388
66,6765,0.0001,0.4,5,18.445,0.0,8.4,3.071,11.814,0.558,29308.314,0.131,0.746,1.117,1.117,1.08,2935.405,1.068,-0.051,-13.915
67,2421,0.0001,0.9,5,18.407,0.0,8.39,3.069,11.943,0.287,18224.036,0.459,0.994,1.122,1.122,1.087,7307.221,3.852,-0.054,-32.39
68,9361,0.0001,0.75,5,18.868,0.0,8.66,3.114,11.931,0.505,27805.259,0.166,0.867,1.113,1.113,1.077,6014.716,1.102,-0.053,-16.983
69,9361,0.0001,0.4,5,18.895,0.0,8.65,3.113,11.943,0.546,29433.772,0.129,0.783,1.112,1.112,1.077,3580.433,1.073,-0.05,-14.653
70,9361,0.0001,0.8500000000000001,5,18.906,0.0,8.67,3.115,11.884,0.461,26042.534,0.213,0.924,1.111,1.111,1.077,6958.084,1.179,-0.058,-19.628
71,2804,0.0001,0.65,5,18.656,0.0,8.24,3.042,11.686,0.534,28163.861,0.148,0.785,1.125,1.125,1.083,4523.03,1.046,-0.037,-15.02
72,6765,0.0001,0.7000000000000001,5,18.478,0.0,8.4,3.071,11.826,0.535,28448.475,0.149,0.798,1.116,1.116,1.08,4566.529,1.078,-0.053,-15.116
73,4872,0.0001,0.95,5,18.551,0.0,8.55,3.096,11.814,0.146,10816.846,0.709,1.0,1.125,1.125,1.083,7331.647,10.031,-0.074,-50.873
74,2804,0.0001,0.35,5,18.684,0.0,8.23,3.042,11.721,0.553,28889.355,0.131,0.746,1.125,1.125,1.085,3130.08,1.041,-0.037,-14.01
75,2421,0.0001,0.45,5,18.484,0.0,8.36,3.063,12.001,0.55,28988.847,0.131,0.726,1.119,1.119,1.083,3260.61,1.069,-0.04,-14.284
76,2421,0.0001,0.75,5,18.521,0.0,8.36,3.063,11.955,0.487,26642.006,0.183,0.851,1.122,1.122,1.083,6306.301,1.099,-0.041,-17.681
77,9361,0.0001,0.15,5,18.904,0.0,8.65,3.113,11.955,0.555,29786.213,0.121,0.764,1.112,1.112,1.077,2905.042,1.068,-0.049,-14.16
78,9361,0.0001,0.45,5,18.898,0.0,8.65,3.113,11.92,0.543,29324.263,0.132,0.789,1.113,1.113,1.077,3787.941,1.075,-0.05,-14.805
79,2804,0.0001,0.3,5,18.694,0.0,8.23,3.041,11.709,0.555,28949.228,0.131,0.742,1.124,1.124,1.083,3014.266,1.041,-0.037,-13.927
80,2421,0.0001,0.35,5,18.454,0.0,8.36,3.063,12.036,0.555,29176.966,0.126,0.716,1.119,1.119,1.083,2919.766,1.066,-0.04,-14.026
81,9361,0.0001,0.9,5,18.823,0.0,8.72,3.124,11.849,0.349,21382.057,0.357,0.988,1.122,1.122,1.083,7285.696,4.084,-0.064,-27.601
82,6765,0.0001,0.0,5,18.479,0.0,8.4,3.07,11.756,0.567,29657.66,0.123,0.726,1.116,1.116,1.08,2308.181,1.064,-0.05,-13.434
83,2804,0.0001,0.05,5,18.718,0.0,8.23,3.041,11.721,0.561,29163.536,0.125,0.729,1.125,1.125,1.083,2613.393,1.04,-0.036,-13.633
84,9361,0.0001,0.25,5,18.905,0.0,8.65,3.113,11.884,0.552,29673.197,0.124,0.77,1.112,1.112,1.077,3121.535,1.07,-0.049,-14.319
85,6765,0.0001,0.45,5,18.476,0.0,8.4,3.071,11.803,0.555,29228.831,0.132,0.751,1.116,1.116,1.08,3086.173,1.069,-0.051,-14.025
86,9361,0.0001,0.55,5,18.911,0.0,8.65,3.113,11.955,0.536,29034.617,0.138,0.806,1.111,1.111,1.077,4318.439,1.079,-0.05,-15.211
87,6765,0.0001,0.65,5,18.438,0.0,8.4,3.071,11.803,0.541,28689.516,0.144,0.782,1.116,1.116,1.081,4124.0,1.074,-0.052,-14.776
88,2421,0.0001,0.7000000000000001,5,18.448,0.0,8.36,3.064,11.966,0.523,27976.611,0.154,0.785,1.119,1.119,1.081,5059.307,1.086,-0.041,-15.71
89,6765,0.0001,0.15,5,18.459,0.0,8.4,3.07,11.814,0.564,29565.418,0.126,0.731,1.116,1.116,1.081,2465.209,1.065,-0.05,-13.56
90,6765,0.0001,0.2,5,18.475,0.0,8.4,3.07,11.732,0.563,29526.48,0.126,0.732,1.116,1.116,1.08,2534.716,1.065,-0.05,-13.614
91,2421,0.0001,0.65,5,18.388,0.0,8.36,3.064,11.943,0.525,28074.23,0.15,0.78,1.125,1.125,1.087,4794.279,1.078,-0.04,-15.601
92,4872,0.0001,0.2,5,18.512,0.0,8.49,3.085,11.99,0.564,29477.855,0.116,0.708,1.118,1.118,1.08,2876.273,1.056,-0.042,-13.815
93,2421,0.0001,0.1,5,18.424,0.0,8.36,3.063,11.92,0.562,29467.952,0.12,0.699,1.119,1.119,1.083,2421.967,1.063,-0.04,-13.628
94,6765,0.0001,0.8,5,18.435,0.0,8.41,3.072,11.826,0.513,27630.933,0.173,0.839,1.115,1.115,1.079,5810.865,1.093,-0.055,-16.293
95,2421,0.0001,1.0,5,15.788,0.0,11.43,3.515,12.902,0.031,4153.756,0.927,1.0,0.894,0.894,0.9,7355.616,812.544,-4.125,-99.667
96,2804,0.0001,0.95,5,18.741,0.0,8.27,3.048,11.534,0.159,11300.862,0.683,1.0,1.131,1.131,1.091,7330.108,5.83,-0.057,-48.243
97,9361,0.0001,0.6000000000000001,5,18.896,0.0,8.66,3.114,11.896,0.532,28838.429,0.142,0.817,1.111,1.111,1.077,4659.201,1.082,-0.051,-15.491
98,4872,0.0001,1.0,5,15.89,0.0,11.86,3.568,13.288,0.027,3792.856,0.937,1.0,0.924,0.924,0.923,7356.097,777.228,-4.275,-105.123
99,4872,0.0001,0.15,5,18.52,0.0,8.49,3.086,11.978,0.565,29517.426,0.115,0.705,1.118,1.118,1.083,2804.701,1.056,-0.042,-13.761
100,2804,0.0001,0.15,5,18.706,0.0,8.23,3.041,11.697,0.559,29093.349,0.126,0.733,1.124,1.124,1.083,2741.475,1.04,-0.036,-13.728
101,4872,0.0001,0.8500000000000001,5,18.491,0.0,8.5,3.088,11.908,0.431,24330.911,0.25,0.938,1.118,1.118,1.077,7099.192,1.369,-0.05,-21.414
102,9361,0.0001,0.0,5,18.887,0.0,8.65,3.113,11.955,0.558,29916.158,0.119,0.757,1.113,1.113,1.077,2671.509,1.067,-0.049,-13.984
103,6765,0.0001,0.9,5,18.563,0.0,8.46,3.08,11.838,0.309,19267.039,0.432,0.992,1.13,1.13,1.091,7299.398,2.393,-0.06,-30.565
104,2804,0.0001,0.4,5,18.689,0.0,8.23,3.042,11.721,0.552,28817.332,0.132,0.75,1.125,1.125,1.083,3270.474,1.041,-0.037,-14.11
105,4872,0.0001,0.25,5,18.515,0.0,8.49,3.086,12.001,0.562,29432.868,0.117,0.711,1.117,1.117,1.081,2960.468,1.057,-0.042,-13.878
