,seed,beam,OSL weight,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
83,2804,1000,0.05,0.0001,17.086,0.0,8.23,3.041,11.908,0.561,29163.536,0.125,0.794,1.404,1.404,1.194,2613.393,1.04,-0.036,-13.633
84,9361,1000,0.25,0.0001,17.589,0.0,8.65,3.113,12.247,0.552,29673.197,0.124,0.826,1.401,1.401,1.16,3121.535,1.07,-0.049,-14.319
85,6765,1000,0.45,0.0001,17.19,0.0,8.4,3.071,11.686,0.555,29228.831,0.132,0.81,1.324,1.324,1.171,3086.173,1.069,-0.051,-14.025
86,9361,1000,0.55,0.0001,17.817,0.0,8.65,3.113,11.767,0.536,29034.617,0.138,0.858,1.279,1.279,1.158,4318.439,1.079,-0.05,-15.211
87,6765,1000,0.65,0.0001,17.24,0.0,8.4,3.071,11.569,0.541,28689.516,0.144,0.839,1.29,1.29,1.171,4124.0,1.074,-0.052,-14.776
88,2421,1000,0.7000000000000001,0.0001,16.994,0.0,8.36,3.064,11.732,0.523,27976.611,0.154,0.849,1.304,1.304,1.182,5059.307,1.086,-0.041,-15.71
89,6765,1000,0.15,0.0001,17.041,0.0,8.4,3.07,11.908,0.564,29565.418,0.126,0.79,1.383,1.383,1.174,2465.209,1.065,-0.05,-13.56
90,6765,1000,0.2,0.0001,17.137,0.0,8.4,3.07,11.838,0.563,29526.48,0.126,0.792,1.362,1.362,1.174,2534.716,1.065,-0.05,-13.614
91,2421,1000,0.65,0.0001,16.988,0.0,8.36,3.064,11.826,0.525,28074.23,0.15,0.845,1.315,1.315,1.188,4794.279,1.078,-0.04,-15.601
92,4872,1000,0.2,0.0001,16.752,0.0,8.49,3.085,12.282,0.564,29477.855,0.116,0.771,1.471,1.471,1.192,2876.273,1.056,-0.042,-13.815
93,2421,1000,0.1,0.0001,16.547,0.0,8.36,3.063,12.692,0.562,29467.952,0.12,0.763,1.545,1.545,1.189,2421.967,1.063,-0.04,-13.628
94,6765,1000,0.8,0.0001,17.381,0.0,8.41,3.072,11.335,0.513,27630.933,0.173,0.89,1.256,1.256,1.167,5810.865,1.093,-0.055,-16.293
95,2421,1000,1.0,0.0001,17.16,0.0,11.43,3.515,10.972,0.031,4153.756,0.927,1.0,1.032,1.032,1.019,7355.616,812.544,-4.125,-99.667
96,2804,1000,0.95,0.0001,17.64,0.0,8.27,3.048,11.194,0.159,11300.862,0.683,1.0,1.265,1.265,1.188,7330.108,5.83,-0.057,-48.243
97,9361,1000,0.6000000000000001,0.0001,17.889,0.0,8.66,3.114,11.674,0.532,28838.429,0.142,0.867,1.247,1.247,1.158,4659.201,1.082,-0.051,-15.491
98,4872,1000,1.0,0.0001,17.273,0.0,11.86,3.568,12.107,0.027,3792.856,0.937,1.0,1.068,1.068,1.053,7356.097,777.228,-4.275,-105.123
99,4872,1000,0.15,0.0001,16.73,0.0,8.49,3.086,12.317,0.565,29517.426,0.115,0.769,1.497,1.497,1.192,2804.701,1.056,-0.042,-13.761
100,2804,1000,0.15,0.0001,17.161,0.0,8.23,3.041,11.814,0.559,29093.349,0.126,0.796,1.374,1.374,1.194,2741.475,1.04,-0.036,-13.728
101,4872,1000,0.8500000000000001,0.0001,17.413,0.0,8.5,3.088,11.51,0.431,24330.911,0.25,0.966,1.26,1.26,1.182,7099.192,1.369,-0.05,-21.414
102,9361,1000,0.0,0.0001,17.353,0.0,8.65,3.113,12.832,0.558,29916.158,0.119,0.815,1.533,1.533,1.167,2671.509,1.067,-0.049,-13.984
103,6765,1000,0.9,0.0001,17.422,0.0,8.46,3.08,11.323,0.309,19267.039,0.432,0.997,1.257,1.257,1.176,7299.398,2.393,-0.06,-30.565
104,2804,1000,0.4,0.0001,17.267,0.0,8.23,3.042,11.615,0.552,28817.332,0.132,0.813,1.327,1.327,1.192,3270.474,1.041,-0.037,-14.11
105,4872,1000,0.25,0.0001,16.817,0.0,8.49,3.086,12.212,0.562,29432.868,0.117,0.774,1.455,1.455,1.192,2960.468,1.057,-0.042,-13.878
