,OSL weight,seed,beam,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
19,0.9,4872,100,0.0001,17.991,0.0,8.52,3.09,11.557,0.343,20624.25,0.377,0.991,1.208,1.208,1.15,7286.864,3.669,-0.06,-27.774
20,0.55,2421,100,0.0001,17.721,0.0,8.36,3.063,11.803,0.542,28716.539,0.137,0.789,1.221,1.221,1.145,3767.432,1.071,-0.04,-14.663
21,0.1,4872,100,0.0001,17.904,0.0,8.49,3.086,11.686,0.566,29552.657,0.114,0.745,1.218,1.218,1.15,2741.403,1.055,-0.042,-13.714
22,0.95,6765,100,0.0001,17.998,0.0,8.49,3.085,11.405,0.147,10929.725,0.71,1.0,1.212,1.212,1.154,7332.502,8.48,-0.076,-51.029
23,0.35,9361,100,0.0001,18.366,0.0,8.65,3.113,11.65,0.548,29525.398,0.127,0.817,1.192,1.192,1.133,3405.047,1.072,-0.049,-14.525
24,0.8500000000000001,6765,100,0.0001,17.974,0.0,8.43,3.076,11.381,0.442,24928.352,0.246,0.952,1.207,1.207,1.147,7028.394,1.143,-0.055,-20.476
25,0.75,2804,100,0.0001,18.094,0.0,8.24,3.042,11.346,0.519,27563.846,0.165,0.858,1.216,1.216,1.154,5482.606,1.051,-0.038,-15.868
26,0.65,4872,100,0.0001,17.864,0.0,8.49,3.086,11.721,0.542,28622.74,0.134,0.805,1.216,1.216,1.15,4480.178,1.069,-0.044,-14.999
27,0.45,4872,100,0.0001,17.858,0.0,8.49,3.086,11.732,0.556,29172.135,0.122,0.77,1.218,1.218,1.15,3448.604,1.06,-0.043,-14.234
28,0.05,4872,100,0.0001,17.852,0.0,8.49,3.085,11.744,0.566,29584.37,0.113,0.743,1.219,1.219,1.15,2686.568,1.055,-0.042,-13.672
29,1.0,6765,100,0.0001,17.818,0.0,10.79,3.432,11.908,0.031,4276.161,0.929,1.0,1.03,1.03,1.0,7355.658,540.76,-2.926,-99.4
30,0.25,2421,100,0.0001,17.723,0.0,8.36,3.063,11.873,0.558,29317.805,0.123,0.753,1.227,1.227,1.148,2673.484,1.064,-0.04,-13.833
31,0.8500000000000001,2804,100,0.0001,18.216,0.0,8.25,3.044,11.264,0.432,24138.718,0.249,0.954,1.213,1.213,1.148,7101.374,1.12,-0.041,-21.091
32,0.8,2804,100,0.0001,18.171,0.0,8.24,3.043,11.288,0.467,25547.332,0.211,0.924,1.214,1.214,1.15,6769.392,1.078,-0.039,-18.897
33,0.55,6765,100,0.0001,17.899,0.0,8.4,3.071,11.475,0.55,29020.618,0.137,0.805,1.203,1.203,1.143,3489.831,1.071,-0.051,-14.315
34,0.75,4872,100,0.0001,17.878,0.0,8.5,3.087,11.709,0.526,28026.891,0.149,0.839,1.213,1.213,1.15,5433.137,1.081,-0.045,-15.84
35,0.0,2804,100,0.0001,18.054,0.0,8.23,3.041,11.417,0.562,29192.223,0.125,0.772,1.225,1.225,1.154,2561.266,1.04,-0.036,-13.593
36,0.0,2421,100,0.0001,17.746,0.0,8.36,3.063,11.884,0.564,29540.62,0.119,0.741,1.228,1.228,1.147,2303.442,1.062,-0.04,-13.528
37,0.7000000000000001,2804,100,0.0001,18.103,0.0,8.24,3.042,11.335,0.528,27913.63,0.156,0.843,1.219,1.219,1.154,4956.148,1.048,-0.038,-15.375
38,0.2,9361,100,0.0001,18.354,0.0,8.65,3.113,11.65,0.553,29732.9,0.123,0.806,1.192,1.192,1.133,3006.238,1.069,-0.049,-14.234
39,0.1,9361,100,0.0001,18.348,0.0,8.65,3.113,11.639,0.556,29833.566,0.12,0.801,1.192,1.192,1.133,2818.153,1.068,-0.049,-14.094
40,0.75,6765,100,0.0001,17.919,0.0,8.41,3.071,11.452,0.525,28116.86,0.159,0.852,1.201,1.201,1.143,5128.238,1.083,-0.053,-15.589
41,0.25,2804,100,0.0001,18.041,0.0,8.23,3.041,11.358,0.556,29004.099,0.129,0.784,1.224,1.224,1.154,2909.063,1.041,-0.036,-13.852
42,0.55,4872,100,0.0001,17.861,0.0,8.49,3.086,11.732,0.55,28957.069,0.126,0.783,1.217,1.217,1.15,3860.189,1.064,-0.043,-14.532
43,0.65,9361,100,0.0001,18.345,0.0,8.66,3.114,11.58,0.525,28586.534,0.147,0.865,1.187,1.187,1.133,5055.781,1.086,-0.051,-15.85
44,0.45,2804,100,0.0001,18.053,0.0,8.23,3.042,11.346,0.549,28729.378,0.134,0.8,1.222,1.222,1.154,3439.08,1.042,-0.037,-14.23
45,0.4,4872,100,0.0001,17.874,0.0,8.49,3.086,11.767,0.558,29254.31,0.121,0.764,1.217,1.217,1.15,3293.511,1.058,-0.043,-14.122
46,0.8,4872,100,0.0001,17.892,0.0,8.5,3.087,11.662,0.513,27517.04,0.162,0.865,1.211,1.211,1.148,6048.052,1.092,-0.046,-16.566
47,0.9,2804,100,0.0001,18.126,0.0,8.26,3.047,11.241,0.313,19070.395,0.412,0.994,1.213,1.213,1.148,7300.228,3.205,-0.045,-30.083
48,0.3,6765,100,0.0001,17.885,0.0,8.4,3.07,11.475,0.561,29432.005,0.128,0.778,1.209,1.209,1.143,2703.58,1.066,-0.05,-13.743
49,1.0,9361,100,0.0001,18.174,0.0,10.57,3.402,11.826,0.031,4259.093,0.932,1.0,1.055,1.055,1.038,7355.955,450.444,-2.482,-101.286
50,0.5,6765,100,0.0001,17.913,0.0,8.4,3.071,11.463,0.553,29131.246,0.135,0.797,1.202,1.202,1.143,3271.971,1.07,-0.051,-14.159
51,0.25,6765,100,0.0001,17.883,0.0,8.4,3.07,11.522,0.562,29482.659,0.127,0.774,1.208,1.208,1.143,2614.207,1.066,-0.05,-13.675
52,0.55,2804,100,0.0001,18.085,0.0,8.23,3.042,11.381,0.543,28509.224,0.139,0.811,1.22,1.22,1.154,3871.502,1.044,-0.037,-14.536
53,0.2,2421,100,0.0001,17.723,0.0,8.36,3.063,11.849,0.56,29370.847,0.121,0.751,1.229,1.229,1.148,2580.34,1.064,-0.04,-13.758
54,0.4,2421,100,0.0001,17.733,0.0,8.36,3.063,11.861,0.553,29092.682,0.128,0.767,1.223,1.223,1.148,3071.821,1.067,-0.04,-14.142
55,0.35,6765,100,0.0001,17.911,0.0,8.4,3.07,11.498,0.559,29374.212,0.129,0.782,1.208,1.208,1.143,2811.397,1.067,-0.051,-13.824
56,0.6000000000000001,6765,100,0.0001,17.915,0.0,8.4,3.071,11.44,0.546,28872.837,0.14,0.813,1.203,1.203,1.143,3772.695,1.073,-0.052,-14.519
57,0.7000000000000001,4872,100,0.0001,17.871,0.0,8.49,3.086,11.756,0.535,28374.144,0.14,0.821,1.214,1.214,1.15,4904.128,1.074,-0.044,-15.347
58,0.2,2804,100,0.0001,18.087,0.0,8.23,3.041,11.393,0.558,29052.904,0.127,0.781,1.225,1.225,1.154,2818.835,1.04,-0.036,-13.785
59,0.3,4872,100,0.0001,17.859,0.0,8.49,3.086,11.756,0.561,29382.892,0.118,0.756,1.218,1.218,1.15,3052.758,1.057,-0.043,-13.946
60,0.5,2421,100,0.0001,17.723,0.0,8.36,3.063,11.838,0.546,28867.755,0.134,0.78,1.221,1.221,1.147,3488.346,1.07,-0.04,-14.455
61,0.6000000000000001,2421,100,0.0001,17.726,0.0,8.36,3.063,11.779,0.538,28532.761,0.14,0.8,1.218,1.218,1.147,4109.058,1.074,-0.041,-14.922
62,0.7000000000000001,9361,100,0.0001,18.373,0.0,8.66,3.114,11.604,0.517,28258.283,0.155,0.88,1.187,1.187,1.133,5509.788,1.093,-0.052,-16.323
63,0.5,4872,100,0.0001,17.877,0.0,8.49,3.086,11.756,0.553,29077.53,0.123,0.776,1.218,1.218,1.15,3632.167,1.062,-0.043,-14.367
64,0.15,2421,100,0.0001,17.732,0.0,8.36,3.063,11.803,0.561,29424.248,0.12,0.748,1.229,1.229,1.148,2494.2,1.063,-0.04,-13.688
