,beam,OSL Margin,OSL weight,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
72,750,0.0001,0.7000000000000001,6765,39.405,0.0,3.98,1.992,12.027,0.347,16097.134,0.346,0.983,1.092,1.092,1.053,6315.328,1.028,-0.013,-17.617
73,750,0.0001,0.95,4872,39.746,0.0,3.99,1.996,12.26,0.105,6232.636,0.808,1.0,1.089,1.089,1.05,7345.6,2.489,-0.018,-42.733
74,750,0.0001,0.35,2804,39.212,0.0,3.96,1.984,12.051,0.384,17367.216,0.304,0.965,1.126,1.126,1.053,3865.472,1.01,-0.013,-15.42
75,750,0.0001,0.45,2421,39.651,0.0,4.09,2.033,12.214,0.376,17651.661,0.316,0.984,1.105,1.105,1.05,4787.098,1.016,-0.018,-16.187
76,750,0.0001,0.75,2421,39.884,0.0,4.1,2.034,12.132,0.325,15825.827,0.392,0.997,1.087,1.087,1.048,6816.137,1.026,-0.019,-19.312
77,750,0.0001,0.15,9361,39.031,0.0,3.94,1.978,12.295,0.397,17809.823,0.3,0.967,1.164,1.164,1.056,2536.01,1.007,-0.012,-14.488
78,750,0.0001,0.45,9361,39.24,0.0,3.94,1.978,12.167,0.382,17281.427,0.321,0.975,1.117,1.117,1.056,3826.713,1.008,-0.012,-15.326
79,750,0.0001,0.3,2804,39.215,0.0,3.96,1.984,12.086,0.387,17471.874,0.299,0.963,1.126,1.126,1.053,3623.283,1.009,-0.013,-15.248
80,750,0.0001,0.35,2421,39.601,0.0,4.09,2.033,12.225,0.382,17900.46,0.307,0.98,1.115,1.115,1.05,4267.655,1.015,-0.017,-15.789
81,750,0.0001,0.9,9361,39.618,0.0,3.95,1.981,12.109,0.203,10711.129,0.625,1.0,1.088,1.088,1.056,7310.257,1.046,-0.016,-28.444
82,750,0.0001,0.0,6765,39.146,0.0,3.98,1.991,12.121,0.399,17895.828,0.279,0.954,1.124,1.124,1.053,2955.401,1.017,-0.012,-14.669
83,750,0.0001,0.05,2804,38.958,0.0,3.96,1.984,12.202,0.398,17841.364,0.286,0.957,1.183,1.183,1.053,2799.23,1.009,-0.013,-14.663
84,750,0.0001,0.25,9361,39.173,0.0,3.94,1.978,12.237,0.394,17679.795,0.305,0.969,1.134,1.134,1.056,2835.861,1.007,-0.012,-14.692
85,750,0.0001,0.45,6765,39.247,0.0,3.98,1.992,12.074,0.38,17233.541,0.3,0.966,1.111,1.111,1.053,4447.363,1.02,-0.013,-15.723
86,750,0.0001,0.55,9361,39.262,0.0,3.94,1.978,12.167,0.373,16956.769,0.333,0.98,1.115,1.115,1.056,4613.113,1.008,-0.013,-15.854
87,750,0.0001,0.65,6765,39.529,0.0,3.98,1.992,12.109,0.341,15924.957,0.35,0.984,1.095,1.095,1.053,6308.796,1.028,-0.013,-17.96
88,750,0.0001,0.7000000000000001,2421,39.772,0.0,4.09,2.033,12.179,0.34,16389.593,0.37,0.994,1.093,1.093,1.05,6489.617,1.023,-0.019,-18.299
89,750,0.0001,0.15,6765,39.195,0.0,3.98,1.991,12.097,0.395,17752.239,0.283,0.957,1.117,1.117,1.053,3280.598,1.018,-0.012,-14.896
90,750,0.0001,0.2,6765,39.193,0.0,3.98,1.991,12.097,0.393,17692.168,0.285,0.958,1.116,1.116,1.053,3414.277,1.018,-0.012,-14.988
91,750,0.0001,0.65,2421,39.756,0.0,4.09,2.033,12.179,0.351,16772.64,0.353,0.991,1.095,1.095,1.05,6143.098,1.021,-0.018,-17.644
92,750,0.0001,0.2,4872,39.256,0.0,3.97,1.988,12.423,0.392,17779.21,0.299,0.967,1.169,1.169,1.05,3307.737,1.009,-0.013,-14.925
93,750,0.0001,0.1,2421,39.511,0.0,4.09,2.033,12.307,0.394,18289.58,0.293,0.975,1.149,1.149,1.051,3398.766,1.014,-0.017,-15.172
94,750,0.0001,0.8,6765,39.572,0.0,3.98,1.992,12.097,0.289,14073.867,0.431,0.996,1.087,1.087,1.053,7127.29,1.057,-0.014,-21.368
95,750,0.0001,1.0,2421,37.236,0.0,5.27,2.399,11.934,0.014,1680.146,0.968,1.0,0.965,0.965,1.0,7367.343,917.776,-3.756,-90.828
96,750,0.0001,0.95,2804,39.436,0.0,3.96,1.987,12.062,0.116,6768.235,0.775,1.0,1.09,1.09,1.056,7342.894,1.98,-0.019,-40.171
97,750,0.0001,0.6000000000000001,9361,39.292,0.0,3.94,1.978,12.167,0.367,16739.753,0.342,0.982,1.111,1.111,1.056,5078.145,1.009,-0.013,-16.212
98,750,0.0001,1.0,4872,37.83,0.0,5.05,2.335,12.33,0.013,1596.412,0.967,1.0,0.991,0.991,1.0,7367.213,761.225,-3.02,-90.043
99,750,0.0001,0.15,4872,39.195,0.0,3.97,1.988,12.458,0.394,17841.021,0.296,0.966,1.179,1.179,1.05,3169.605,1.009,-0.013,-14.828
100,750,0.0001,0.15,2804,39.117,0.0,3.96,1.984,12.121,0.394,17717.359,0.289,0.959,1.146,1.146,1.053,3068.513,1.009,-0.013,-14.858
101,750,0.0001,0.8500000000000001,4872,39.766,0.0,3.98,1.992,12.179,0.256,12976.847,0.521,0.999,1.091,1.091,1.05,7244.092,1.02,-0.015,-23.783
102,750,0.0001,0.0,9361,38.878,0.0,3.94,1.978,12.376,0.402,17956.936,0.294,0.965,1.205,1.205,1.056,2218.429,1.008,-0.012,-14.257
103,750,0.0001,0.9,6765,39.494,0.0,3.99,1.995,12.19,0.166,9177.396,0.652,1.0,1.091,1.091,1.053,7309.176,2.582,-0.015,-33.007
104,750,0.0001,0.4,2804,39.262,0.0,3.96,1.984,12.062,0.38,17242.628,0.308,0.967,1.122,1.122,1.053,4141.68,1.01,-0.013,-15.621
105,750,0.0001,0.25,4872,39.334,0.0,3.97,1.988,12.353,0.391,17708.495,0.301,0.967,1.152,1.152,1.05,3465.277,1.009,-0.013,-15.035
