,seed,beam,OSL weight,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
91,2421,500,0.65,0.0001,39.782,0.0,4.09,2.033,12.179,0.351,16772.64,0.353,0.991,1.091,1.091,1.05,6143.098,1.021,-0.018,-17.644
92,4872,500,0.2,0.0001,39.41,0.0,3.97,1.988,12.342,0.392,17779.21,0.299,0.966,1.138,1.138,1.05,3307.737,1.009,-0.013,-14.925
93,2421,500,0.1,0.0001,39.595,0.0,4.09,2.033,12.248,0.394,18289.58,0.293,0.975,1.122,1.122,1.05,3398.766,1.014,-0.017,-15.172
94,6765,500,0.8,0.0001,39.578,0.0,3.98,1.992,12.121,0.289,14073.867,0.431,0.996,1.086,1.086,1.053,7127.29,1.057,-0.014,-21.368
95,2421,500,1.0,0.0001,37.198,0.0,5.27,2.399,11.923,0.014,1680.146,0.968,1.0,0.964,0.964,1.0,7367.343,917.776,-3.756,-90.828
96,2804,500,0.95,0.0001,39.441,0.0,3.96,1.987,12.051,0.116,6768.235,0.775,1.0,1.09,1.09,1.056,7342.894,1.98,-0.019,-40.171
97,9361,500,0.6000000000000001,0.0001,39.367,0.0,3.94,1.978,12.179,0.367,16739.753,0.342,0.982,1.106,1.106,1.056,5078.145,1.009,-0.013,-16.212
98,4872,500,1.0,0.0001,37.826,0.0,5.05,2.335,12.295,0.013,1596.412,0.967,1.0,0.99,0.99,1.0,7367.213,761.225,-3.02,-90.043
99,4872,500,0.15,0.0001,39.356,0.0,3.97,1.988,12.353,0.394,17841.021,0.296,0.965,1.145,1.145,1.05,3169.605,1.009,-0.013,-14.828
100,2804,500,0.15,0.0001,39.258,0.0,3.96,1.984,12.039,0.394,17717.359,0.289,0.958,1.121,1.121,1.053,3068.513,1.009,-0.013,-14.858
101,4872,500,0.8500000000000001,0.0001,39.794,0.0,3.98,1.992,12.19,0.256,12976.847,0.521,0.999,1.088,1.088,1.049,7244.092,1.02,-0.015,-23.783
102,9361,500,0.0,0.0001,39.156,0.0,3.94,1.978,12.272,0.402,17956.936,0.294,0.964,1.144,1.144,1.056,2218.429,1.008,-0.012,-14.257
103,6765,500,0.9,0.0001,39.526,0.0,3.99,1.995,12.202,0.166,9177.396,0.652,1.0,1.09,1.09,1.053,7309.176,2.582,-0.015,-33.007
104,2804,500,0.4,0.0001,39.336,0.0,3.96,1.984,12.004,0.38,17242.628,0.308,0.967,1.109,1.109,1.053,4141.68,1.01,-0.013,-15.621
105,4872,500,0.25,0.0001,39.445,0.0,3.97,1.988,12.307,0.391,17708.495,0.301,0.967,1.129,1.129,1.05,3465.277,1.009,-0.013,-15.035
