,seed,beam,OSL Margin,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
82,6765,100,0.0001,0.0,39.487,0.0,3.98,1.991,12.062,0.399,17895.828,0.279,0.952,1.089,1.089,1.05,2955.401,1.017,-0.012,-14.669
83,2804,100,0.0001,0.05,39.436,0.0,3.96,1.984,12.004,0.398,17841.364,0.286,0.954,1.101,1.101,1.05,2799.23,1.009,-0.013,-14.663
84,9361,100,0.0001,0.25,39.534,0.0,3.94,1.978,12.132,0.394,17679.795,0.305,0.966,1.092,1.092,1.053,2835.861,1.007,-0.012,-14.692
85,6765,100,0.0001,0.45,39.507,0.0,3.98,1.992,12.051,0.38,17233.541,0.3,0.964,1.085,1.085,1.05,4447.363,1.02,-0.013,-15.723
86,9361,100,0.0001,0.55,39.525,0.0,3.94,1.978,12.167,0.373,16956.769,0.333,0.978,1.091,1.091,1.053,4613.113,1.008,-0.013,-15.854
87,6765,100,0.0001,0.65,39.663,0.0,3.98,1.992,12.121,0.341,15924.957,0.35,0.983,1.083,1.083,1.053,6308.796,1.028,-0.013,-17.96
88,2421,100,0.0001,0.7000000000000001,39.883,0.0,4.09,2.033,12.155,0.34,16389.593,0.37,0.993,1.085,1.085,1.049,6489.617,1.023,-0.019,-18.299
89,6765,100,0.0001,0.15,39.509,0.0,3.98,1.991,12.051,0.395,17752.239,0.283,0.954,1.085,1.085,1.05,3280.598,1.018,-0.012,-14.896
90,6765,100,0.0001,0.2,39.507,0.0,3.98,1.991,12.051,0.393,17692.168,0.285,0.956,1.086,1.086,1.05,3414.277,1.018,-0.012,-14.988
91,2421,100,0.0001,0.65,39.873,0.0,4.09,2.033,12.167,0.351,16772.64,0.353,0.991,1.085,1.085,1.05,6143.098,1.021,-0.018,-17.644
92,4872,100,0.0001,0.2,39.718,0.0,3.97,1.988,12.202,0.392,17779.21,0.299,0.964,1.085,1.085,1.048,3307.737,1.009,-0.013,-14.925
93,2421,100,0.0001,0.1,39.842,0.0,4.09,2.033,12.167,0.394,18289.58,0.293,0.973,1.088,1.088,1.05,3398.766,1.014,-0.017,-15.172
94,6765,100,0.0001,0.8,39.684,0.0,3.98,1.992,12.121,0.289,14073.867,0.431,0.996,1.082,1.082,1.051,7127.29,1.057,-0.014,-21.368
95,2421,100,0.0001,1.0,37.028,0.0,5.27,2.399,11.934,0.014,1680.146,0.968,1.0,0.958,0.958,1.0,7367.343,917.776,-3.756,-90.828
96,2804,100,0.0001,0.95,39.493,0.0,3.96,1.987,12.062,0.116,6768.235,0.775,1.0,1.087,1.087,1.056,7342.894,1.98,-0.019,-40.171
97,9361,100,0.0001,0.6000000000000001,39.548,0.0,3.94,1.978,12.167,0.367,16739.753,0.342,0.981,1.09,1.09,1.053,5078.145,1.009,-0.013,-16.212
98,4872,100,0.0001,1.0,37.547,0.0,5.05,2.335,12.283,0.013,1596.412,0.967,1.0,0.979,0.979,1.0,7367.213,761.225,-3.02,-90.043
99,4872,100,0.0001,0.15,39.693,0.0,3.97,1.988,12.202,0.394,17841.021,0.296,0.963,1.085,1.085,1.048,3169.605,1.009,-0.013,-14.828
100,2804,100,0.0001,0.15,39.472,0.0,3.96,1.984,11.981,0.394,17717.359,0.289,0.956,1.097,1.097,1.05,3068.513,1.009,-0.013,-14.858
101,4872,100,0.0001,0.8500000000000001,39.862,0.0,3.98,1.992,12.179,0.256,12976.847,0.521,0.999,1.082,1.082,1.048,7244.092,1.02,-0.015,-23.783
102,9361,100,0.0001,0.0,39.455,0.0,3.94,1.978,12.167,0.402,17956.936,0.294,0.96,1.099,1.099,1.053,2218.429,1.008,-0.012,-14.257
103,6765,100,0.0001,0.9,39.589,0.0,3.99,1.995,12.19,0.166,9177.396,0.652,1.0,1.085,1.085,1.053,7309.176,2.582,-0.015,-33.007
104,2804,100,0.0001,0.4,39.503,0.0,3.96,1.984,11.958,0.38,17242.628,0.308,0.965,1.09,1.09,1.05,4141.68,1.01,-0.013,-15.621
105,4872,100,0.0001,0.25,39.723,0.0,3.97,1.988,12.202,0.391,17708.495,0.301,0.965,1.085,1.085,1.048,3465.277,1.009,-0.013,-15.035
