,OSL weight,OSL Margin,beam,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
57,0.7000000000000001,0.0001,250,4872,39.679,0.0,3.97,1.988,12.202,0.345,16175.27,0.367,0.988,1.09,1.09,1.049,6282.169,1.011,-0.013,-17.56
58,0.2,0.0001,250,2804,39.319,0.0,3.96,1.984,12.004,0.392,17647.345,0.293,0.958,1.112,1.112,1.053,3225.065,1.009,-0.013,-14.969
59,0.3,0.0001,250,4872,39.662,0.0,3.97,1.988,12.225,0.388,17630.108,0.305,0.968,1.094,1.094,1.049,3644.518,1.009,-0.013,-15.159
60,0.5,0.0001,250,2421,39.809,0.0,4.09,2.033,12.179,0.371,17493.375,0.323,0.985,1.088,1.088,1.05,5092.528,1.017,-0.018,-16.445
61,0.6000000000000001,0.0001,250,2421,39.859,0.0,4.09,2.033,12.155,0.359,17065.242,0.34,0.989,1.087,1.087,1.05,5785.329,1.019,-0.018,-17.15
62,0.7000000000000001,0.0001,250,9361,39.483,0.0,3.94,1.978,12.155,0.348,16105.386,0.369,0.988,1.093,1.093,1.056,6090.056,1.01,-0.013,-17.284
63,0.5,0.0001,250,4872,39.699,0.0,3.97,1.988,12.214,0.375,17167.061,0.324,0.975,1.091,1.091,1.049,4678.781,1.01,-0.013,-15.903
64,0.15,0.0001,250,2421,39.731,0.0,4.09,2.033,12.214,0.392,18230.207,0.295,0.975,1.099,1.099,1.05,3531.359,1.015,-0.017,-15.265
65,0.95,0.0001,250,2421,39.969,0.0,4.11,2.039,12.214,0.132,7761.637,0.756,1.0,1.083,1.083,1.05,7339.734,3.1,-0.027,-38.66
66,0.4,0.0001,250,6765,39.439,0.0,3.98,1.991,12.051,0.383,17355.301,0.296,0.963,1.088,1.088,1.053,4182.865,1.019,-0.013,-15.527
67,0.9,0.0001,250,2421,39.974,0.0,4.11,2.038,12.202,0.205,11153.362,0.613,1.0,1.085,1.085,1.049,7301.478,1.112,-0.024,-29.204
68,0.75,0.0001,250,9361,39.495,0.0,3.94,1.979,12.109,0.326,15361.578,0.397,0.992,1.091,1.091,1.053,6665.47,1.01,-0.013,-18.627
69,0.4,0.0001,250,9361,39.393,0.0,3.94,1.978,12.179,0.386,17407.572,0.315,0.972,1.104,1.104,1.056,3509.855,1.007,-0.012,-15.124
