,beam,OSL Margin,OSL weight,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
85,100,0.0001,0.45,6765,34.047,0.0,4.99,2.32,12.204,0.423,19750.828,0.267,0.955,1.115,1.115,1.071,4312.251,1.061,-0.014,-15.414
86,100,0.0001,0.55,9361,33.839,0.0,5.03,2.331,11.994,0.419,19504.645,0.277,0.963,1.118,1.118,1.079,4820.101,1.035,-0.015,-15.77
87,100,0.0001,0.65,6765,34.157,0.0,5.01,2.325,12.167,0.394,18797.255,0.305,0.977,1.108,1.108,1.071,5978.186,1.271,-0.016,-17.145
88,100,0.0001,0.7000000000000001,2421,33.844,0.0,4.97,2.314,12.167,0.389,18523.874,0.31,0.974,1.117,1.117,1.077,6160.209,1.815,-0.016,-17.339
89,100,0.0001,0.15,6765,34.004,0.0,4.99,2.319,12.254,0.436,20152.759,0.25,0.942,1.124,1.124,1.071,3384.712,1.034,-0.014,-14.763
90,100,0.0001,0.2,6765,34.007,0.0,4.99,2.319,12.204,0.435,20109.647,0.251,0.942,1.118,1.118,1.071,3488.021,1.036,-0.014,-14.835
91,100,0.0001,0.65,2421,33.837,0.0,4.97,2.314,12.167,0.398,18824.402,0.298,0.97,1.117,1.117,1.077,5774.952,1.735,-0.015,-16.822
92,100,0.0001,0.2,4872,33.766,0.0,4.98,2.315,12.266,0.436,20022.572,0.237,0.927,1.141,1.141,1.083,2983.183,1.019,-0.015,-14.695
93,100,0.0001,0.1,2421,33.786,0.0,4.97,2.313,12.229,0.432,20005.669,0.25,0.938,1.122,1.122,1.077,3381.362,1.191,-0.015,-14.867
94,100,0.0001,0.8,6765,34.127,0.0,5.0,2.321,12.217,0.372,17976.266,0.342,0.985,1.11,1.11,1.071,6783.015,1.688,-0.016,-18.437
95,100,0.0001,1.0,2421,32.914,0.0,5.73,2.519,11.945,0.029,3359.078,0.934,1.0,1.037,1.037,1.027,7333.871,325.374,-1.447,-78.479
