,OSL weight,seed,beam,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
93,0.8,6765,250,0.0001,34.013,0.0,5.0,2.321,12.167,0.372,17976.266,0.342,0.986,1.113,1.113,1.074,6783.015,1.688,-0.016,-18.437
94,1.0,2421,250,0.0001,32.883,0.0,5.73,2.519,11.945,0.029,3359.078,0.934,1.0,1.043,1.043,1.032,7333.871,325.374,-1.447,-78.479
95,0.95,2804,250,0.0001,34.035,0.0,5.04,2.334,12.18,0.137,8354.81,0.747,1.0,1.117,1.117,1.077,7308.098,4.996,-0.027,-41.574
96,0.6000000000000001,9361,250,0.0001,33.702,0.0,5.03,2.331,12.019,0.414,19357.3,0.283,0.968,1.13,1.13,1.082,5124.85,1.038,-0.015,-16.019
97,1.0,4872,250,0.0001,33.031,0.0,6.08,2.605,11.969,0.025,2918.216,0.941,1.0,1.018,1.018,1.0,7334.123,564.792,-2.368,-83.536
98,0.15,4872,250,0.0001,33.443,0.0,4.98,2.317,12.254,0.447,20352.18,0.226,0.913,1.161,1.161,1.091,2745.407,1.017,-0.014,-14.142
99,0.15,2804,250,0.0001,33.842,0.0,5.02,2.328,12.229,0.436,20208.817,0.253,0.947,1.142,1.142,1.08,3171.914,1.024,-0.015,-14.712
100,0.8500000000000001,4872,250,0.0001,33.897,0.0,4.98,2.317,12.143,0.293,15025.42,0.439,0.997,1.121,1.121,1.085,7187.89,1.839,-0.018,-23.869
101,0.0,9361,250,0.0001,33.602,0.0,5.03,2.331,12.068,0.439,20194.081,0.25,0.948,1.152,1.152,1.083,3264.037,1.02,-0.015,-14.65
102,0.9,6765,250,0.0001,34.087,0.0,5.03,2.331,12.081,0.252,13609.968,0.536,1.0,1.116,1.116,1.077,7289.354,2.181,-0.019,-27.516
103,0.4,2804,250,0.0001,33.88,0.0,5.02,2.328,12.167,0.426,19845.628,0.265,0.955,1.128,1.128,1.08,3993.973,1.03,-0.016,-15.302
104,0.25,4872,250,0.0001,33.611,0.0,4.98,2.315,12.254,0.433,19949.907,0.24,0.931,1.148,1.148,1.087,3142.719,1.02,-0.015,-14.811
