,OSL weight,beam,OSL Margin,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
13,0.3,750,0.0001,9361,33.418,0.0,5.03,2.331,12.18,0.432,19946.96,0.259,0.956,1.182,1.182,1.083,3832.902,1.025,-0.015,-15.048
14,0.0,750,0.0001,4872,33.081,0.0,4.97,2.315,12.687,0.442,20237.253,0.231,0.925,1.292,1.292,1.091,2520.53,1.019,-0.015,-14.349
15,0.35,750,0.0001,4872,33.003,0.0,4.98,2.318,12.489,0.441,20157.391,0.233,0.924,1.254,1.254,1.094,3185.685,1.018,-0.014,-14.451
16,0.05,750,0.0001,2421,33.465,0.0,4.97,2.313,12.254,0.434,20046.756,0.249,0.94,1.155,1.155,1.083,3287.787,1.176,-0.015,-14.801
17,0.6000000000000001,750,0.0001,4872,33.564,0.0,4.98,2.315,12.266,0.404,18979.341,0.274,0.96,1.153,1.153,1.091,5151.66,1.029,-0.015,-16.42
18,0.9,750,0.0001,4872,33.817,0.0,4.99,2.32,12.204,0.228,12478.888,0.553,1.0,1.123,1.123,1.091,7279.811,3.41,-0.02,-29.716
19,0.55,750,0.0001,2421,33.571,0.0,4.97,2.313,12.217,0.41,19242.368,0.281,0.964,1.136,1.136,1.083,5064.242,1.549,-0.015,-16.12
20,0.1,750,0.0001,4872,32.841,0.0,4.98,2.317,12.675,0.448,20387.051,0.225,0.915,1.309,1.309,1.095,2667.358,1.017,-0.014,-14.086
21,0.95,750,0.0001,6765,34.128,0.0,5.05,2.335,12.167,0.146,8916.107,0.735,1.0,1.114,1.114,1.076,7314.344,4.582,-0.023,-40.125
22,0.35,750,0.0001,9361,33.413,0.0,5.03,2.331,12.167,0.43,19883.417,0.262,0.959,1.175,1.175,1.083,3977.063,1.026,-0.015,-15.149
23,0.8500000000000001,750,0.0001,6765,34.014,0.0,5.03,2.331,12.105,0.301,15513.533,0.451,0.998,1.12,1.12,1.077,7222.054,1.941,-0.017,-23.434
24,0.75,750,0.0001,2804,33.92,0.0,5.02,2.328,12.192,0.361,17586.803,0.35,0.986,1.127,1.127,1.08,6719.917,1.639,-0.016,-19.219
25,0.65,750,0.0001,4872,33.63,0.0,4.98,2.315,12.204,0.396,18695.645,0.286,0.964,1.14,1.14,1.091,5608.301,1.034,-0.016,-16.906
26,0.45,750,0.0001,4872,33.527,0.0,4.98,2.315,12.266,0.421,19538.03,0.254,0.946,1.156,1.156,1.091,4059.98,1.022,-0.015,-15.485
27,0.05,750,0.0001,4872,33.075,0.0,4.98,2.315,12.662,0.441,20191.012,0.232,0.927,1.286,1.286,1.091,2616.2,1.019,-0.015,-14.423
28,1.0,750,0.0001,6765,32.583,0.0,6.39,2.677,12.254,0.022,2721.909,0.952,1.0,1.006,1.006,1.0,7334.567,811.94,-3.632,-87.768
29,0.25,750,0.0001,2421,33.537,0.0,4.97,2.313,12.229,0.428,19850.026,0.257,0.947,1.152,1.152,1.083,3738.989,1.243,-0.015,-15.118
30,0.8500000000000001,750,0.0001,2804,33.97,0.0,5.03,2.331,12.229,0.286,14885.399,0.461,0.998,1.124,1.124,1.079,7194.381,2.375,-0.019,-24.603
31,0.8,750,0.0001,2804,34.003,0.0,5.02,2.329,12.18,0.343,16933.487,0.376,0.992,1.128,1.128,1.08,6961.028,1.879,-0.017,-20.421
32,0.55,750,0.0001,6765,33.757,0.0,4.99,2.32,12.279,0.416,19504.028,0.275,0.963,1.147,1.147,1.077,4859.944,1.087,-0.014,-15.82
33,0.75,750,0.0001,4872,33.665,0.0,4.98,2.316,12.204,0.37,17826.673,0.321,0.979,1.135,1.135,1.091,6532.208,1.062,-0.016,-18.433
34,0.0,750,0.0001,2804,33.304,0.0,5.02,2.328,12.65,0.44,20344.243,0.248,0.948,1.289,1.289,1.083,2883.312,1.022,-0.015,-14.499
35,0.0,750,0.0001,2421,33.411,0.0,4.97,2.313,12.279,0.435,20085.968,0.248,0.94,1.166,1.166,1.083,3200.689,1.169,-0.015,-14.739
36,0.7000000000000001,750,0.0001,2804,33.941,0.0,5.02,2.328,12.18,0.379,18224.868,0.325,0.981,1.133,1.133,1.081,6326.601,1.303,-0.016,-18.078
