,OSL Margin,seed,beam,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
61,0.0001,2421,1000,0.6000000000000001,33.545,0.0,4.97,2.314,12.18,0.405,19056.962,0.289,0.968,1.136,1.136,1.083,5405.361,1.642,-0.015,-16.43
62,0.0001,9361,1000,0.7000000000000001,33.506,0.0,5.03,2.332,12.056,0.401,18928.896,0.301,0.978,1.151,1.151,1.083,5851.222,1.055,-0.016,-16.741
63,0.0001,4872,1000,0.5,33.472,0.0,4.98,2.315,12.266,0.417,19386.332,0.258,0.95,1.157,1.157,1.091,4377.896,1.024,-0.015,-15.735
64,0.0001,2421,1000,0.15,33.371,0.0,4.97,2.313,12.279,0.431,19960.129,0.252,0.944,1.168,1.168,1.083,3486.894,1.203,-0.015,-14.941
65,0.0001,2421,1000,0.95,33.917,0.0,4.99,2.32,12.143,0.14,8514.785,0.739,1.0,1.121,1.121,1.08,7312.814,4.123,-0.021,-40.843
66,0.0001,6765,1000,0.4,33.544,0.0,4.99,2.319,12.514,0.426,19843.905,0.262,0.956,1.234,1.234,1.077,4098.89,1.051,-0.014,-15.262
67,0.0001,2421,1000,0.9,33.901,0.0,4.99,2.319,12.118,0.231,12676.845,0.563,1.0,1.121,1.121,1.079,7290.031,1.997,-0.018,-29.376
68,0.0001,9361,1000,0.75,33.935,0.0,5.03,2.332,12.031,0.376,18051.334,0.331,0.987,1.118,1.118,1.077,6557.536,1.118,-0.019,-18.303
69,0.0001,9361,1000,0.4,33.338,0.0,5.03,2.331,12.18,0.428,19812.401,0.264,0.961,1.182,1.182,1.083,4141.384,1.027,-0.015,-15.265
70,0.0001,9361,1000,0.8500000000000001,33.891,0.0,5.05,2.335,12.044,0.31,15719.748,0.436,0.998,1.117,1.117,1.079,7184.429,1.846,-0.019,-22.816
71,0.0001,2804,1000,0.65,33.904,0.0,5.02,2.328,12.217,0.39,18622.849,0.308,0.976,1.14,1.14,1.081,5937.647,1.154,-0.016,-17.385
72,0.0001,6765,1000,0.7000000000000001,33.945,0.0,5.01,2.325,12.13,0.384,18456.746,0.32,0.982,1.119,1.119,1.074,6359.526,1.437,-0.016,-17.733
73,0.0001,4872,1000,0.95,33.85,0.0,4.99,2.32,12.242,0.128,7888.9,0.748,1.0,1.121,1.121,1.087,7307.351,4.766,-0.024,-43.056
74,0.0001,2804,1000,0.35,33.513,0.0,5.02,2.328,12.415,0.429,19939.467,0.261,0.958,1.216,1.216,1.083,3779.397,1.028,-0.015,-15.147
75,0.0001,2421,1000,0.45,33.482,0.0,4.97,2.313,12.229,0.418,19513.329,0.27,0.958,1.146,1.146,1.083,4500.26,1.398,-0.015,-15.668
76,0.0001,2421,1000,0.75,33.695,0.0,4.98,2.316,12.143,0.361,17576.176,0.347,0.988,1.13,1.13,1.083,6757.354,1.886,-0.014,-19.095
77,0.0001,9361,1000,0.15,33.128,0.0,5.03,2.331,12.365,0.436,20090.45,0.254,0.953,1.247,1.247,1.083,3498.258,1.022,-0.015,-14.815
78,0.0001,9361,1000,0.45,33.358,0.0,5.03,2.331,12.167,0.425,19726.575,0.267,0.962,1.179,1.179,1.083,4336.849,1.03,-0.015,-15.406
79,0.0001,2804,1000,0.3,33.501,0.0,5.02,2.328,12.44,0.431,20018.451,0.259,0.955,1.227,1.227,1.083,3598.129,1.027,-0.015,-15.018
